Id,Name,Duration,Type,Places,Budget,ListPlaces,Reference,Description
11,Singapore Flyer and Farm Visit One Day Tour,1,SHORT TOUR,8,LOW,Cricket club - Parliament House - Supreme court and city Hall - Merlion park - Thian Hock Keng Temple - Handicraft centre - Singapore Flyer - Aero-green Technology - ,http://www.celestiallinkholidays.com/singapore.html,Day1:Asian civilization museum-Images of singapore-Sentosa 4D magix-Mount Faber-Songs of the sea-Singapore flyer,
12,Singapore 2days 1Night Land Package A,2,SHORT TOUR,11,LOW,Merlion Park - Raffles Landing Sites - ChinaTown Heritage Centre - Chinatown Night Market - underwater world - Butterfly_Insect_Kingdom - Tiger Sky Tower - Sentosa 4D Magix - Bumboat River - Clarke Quay - Trishaw - ,http://www.celestiallinkholidays.com/singapore.html,Day1:Asian civilization museum-Images of singapore-Sentosa 4D magix-Mount Faber-Songs of the sea Day2:Shopping little india-Shopping Orchard-Duck Tour-Singapore Zoo-Singapore Botanic Gardens,
13,Singapore 2days 1Night Land Package B,2,SHORT TOUR,11,LOW,Fountain of Wealth - Merlion Park - Little India arcade - Night Safari - Images of Singapore - Underwater World - Butterfly_insect_kingdom - Siloso Beach - Tiger Sky Tower - Causeway Bridge - songs of the sea - ,http://www.celestiallinkholidays.com/singapore.html,Day1:Shopping little india-Shopping Orchard-Duck Tour-Singapore Zoo-Singapore Botanic Gardens Day2:Dolphin lagoon- underwater world-Night safari-Handicraft center-Cable car-Merlion park,
14,Singapore 3days 2Night Land Package A,3,SHORT TOUR,18,MEDIUM,Merlion Park - Fountain of Wealth - esplanade - clarke quay - Singapore Botanic Gardens - Images of Singapore - Underwater World - Butterfly_insect_kingdom - Siloso Beach - songs of the sea - Causeway Bridge - Tiger Sky Tower - ChinaTown Heritage Centre - Chinatown Night Market - Trishaw - Clarke Quay - Bumboat River - shopping little india - ,http://www.celestiallinkholidays.com/singapore.html,Day1:ChinaTown Heritage Centre-Chinatown Night Market-Trishaw-Clarke Quay-Bumboat River-shopping little india Day2:Handicraft center-Cable car-Merlion park-Sentosa Day3:Suntec city mall-Sunset at Sentosa-ChinaTown Heritage Centre-Chinatown Night Market-Trishaw,
15,Singapore 3days 2Night Land Package B,3,SHORT TOUR,12,MEDIUM,Merlion Park - Fountain of Wealth - Night Safari - BumBoat River - Images of Singapore - Underwater World - Butterfly_insect_kingdom - Siloso Beach - songs of the sea - Causeway Bridge - Tiger Sky Tower - shopping little india - ,http://www.celestiallinkholidays.com/singapore.html,Day1:Dolphin lagoon- underwater world-Night safari-Handicraft center-Cable car-Merlion park Day2:Asian civilization museum-Images of singapore-Sentosa 4D magix-Mount Faber-Songs of the sea Day3:Shopping little india-Shopping Orchard-Duck Tour-Singapore Zoo-Singapore Botanic Gardens,
16,Singapore 4Days 3Nights Land Package,4,LONG TOUR,13,MEDIUM,Merlion Park - Fountain of Wealth - Night Safari - underwater world - Butterfly_Insect_Kingdom - Tiger Sky Tower - Images of Singapore - Underwater World - Butterfly_insect_kingdom - Siloso Beach - songs of the sea - Causeway Bridge - shopping little india - ,http://www.celestiallinkholidays.com/singapore.html,Day1:Images of singapore-Sentosa 4D magix-Mount Faber-Songs of the sea Day2:Handicraft center-Cable car-Merlion park-Sentosa Day3:Peranakan museum-Causeway bridge-Dolphin lagoon- underwater world-Night safari Day4:Shopping Orchard-Duck Tour-Singapore Zoo-Singapore Botanic Gardens,
17,Singapore 5Days 4Nights Land Package,5,LONG TOUR,13,MEDIUM,Night Safari - Mount Faber - underwater world - Butterfly_insect_kingdom - Tiger Sky Tower - Images of Singapore - Siloso Beach - songs of the sea - Causeway Bridge - shopping little india - Jurong Bird Park - BumBoat River - Singapore Botanic Gardens - ,http://www.celestiallinkholidays.com/singapore.html,Day1Shopping Orchard-Duck Tour-Singapore Zoo-Singapore Botanic Gardens Day2:Asian civilization museum-Images of singapore-Sentosa 4D magix-Mount Faber-Songs of the sea Day3:Night safari-Handicraft center-Cable car-Merlion park-Sentosa Day4:Katong antique house-Joo chiat-Peranakan museum-Causeway bridge-Dolphin lagoon- underwater world Day5:Parliament House-supreme court and city hall-Thian Hock Keng Temple-Jurong Bird Park-esplanade-Fish Reflexology-Lau Pa Sat,
18,4 Days 3 Nights Exchange and Tour Program(Singapore School Tour program),4,LONG TOUR,10,MEDIUM,School Tour - Singapore Discovery Centre - ChinaTown Heritage Centre - Chinatown Night Market - Trishaw - Clarke Quay - Bumboat River - Singapore Science Centre - Little India arcade - Night Safari - ,http://www.celestiallinkholidays.com/School.html,Day1:Images of singapore-Sentosa 4D magix-Mount Faber-Songs of the sea Day2:Trishaw-Gem stone factory-Art Retreat museum-Asian civilization museum Day3:changi chapel and museum-Suntec city mall-Sunset at Sentosa-ChinaTown Heritage Centre-Chinatown Night Market Day4:Night safari-Handicraft center-Cable car-Merlion park-Sentosa,
19,5 Days 4 Nights Exchange and Tour Program(Singapore School Tour Program),5,LONG TOUR,22,HIGH,Cricket club - Parliament House - Supreme court and city Hall - Merlion park - Thian Hock Keng Temple - Handicraft centre - School Tour - Singapore Science Centre - ChinaTown Heritage Centre - Chinatown Night Market - Trishaw - Clarke Quay - Bumboat River - Singapore Discovery Centre - Little India arcade - Night Safari - gem stone factory - art retreat museum - asian civilisation museum - changi chapel and museum - images of singapore - Songs of the Sea - ,http://www.celestiallinkholidays.com/School.html,Day1:Bumboat River-Singapore Discovery Centre-Little India arcade-Night Safari-gem stone factory Day2:art retreat museum-asian civilisation museum-changi chapel and museum Day3:Sentosa 4D magix-Mount Faberimages of singapore-Songs of the Sea Day4:Shopping Orchard-Duck Tour-Singapore Zoo-Singapore Botanic Gardens Day5:geylang serai-Sultan Mosque-Arab Street-Parliament House-supreme court and city hall,
20,Singapore ER233,5,LONG TOUR,10,MEDIUM,Cricket club - Parliament House - Supreme court and city Hall - Merlion park - Thian Hock Keng Temple - Handicraft centre - Singapore Discovery Centre - Jurong Bird Park - Sentosa - Shopping in Bugis - ,http://www.ercotravels.com/it20.htm,Day1:geylang serai-Sultan Mosque-Arab Street-Parliament House-supreme court and city hall Day2:Images of singapore-Sentosa 4D magix-Mount Faber-Songs of the sea Day3:Night safari-Handicraft center-Cable car-Merlion park-Sentosa Day4:Katong antique house-Joo chiat-Peranakan museum-Causeway bridge-Dolphin lagoon- underwater world Day5:Shopping little india-Shopping Orchard-Duck Tour-Singapore Zoo,
21,Singapore (Star Cruises) ER235,6,LONG TOUR,10,MEDIUM,Cricket club - Parliament House - Supreme court and city Hall - Merlion park - Thian Hock Keng Temple - Handicraft centre - Singapore Discovery Centre - Jurong Bird Park - Sentosa - Star Cruise - ,http://www.ercotravels.com/it20.htm,Day1:Asian civilization museum-Images of singapore-Sentosa 4D magix-Mount Faber-Songs of the sea Day2:Sunset at Sentosa-ChinaTown Heritage Centre-Chinatown Night Market-Trishaw-Gem stone factory-Art Retreat museum Day3:Orchid Garden-Johore Battery-changi chapel and museum-Suntec city mall Day4:Clarke Quay-Little india arcade-Haw Par Villa-Kranji War memorial-Kong Meng San Phor Kark See Temple Day5:Dolphin lagoon- underwater world-Night safari-Handicraft center-Cable car-Merlion park-Sentosa Day6:Jurong Bird Park-esplanade-Fish Reflexology-Lau Pa Sat-Katong antique house-Joo chiat,
22,Singapore/Malaysia ER236(06 Nights/07 Days),4,LONG TOUR,13,MEDIUM,Night life (Orchard Road) - Cricket club - Parliament House - Supreme court and city Hall - Merlion park - Thian Hock Keng Temple - Handicraft centre - Images of Singapore - Underwater World - Butterfly_insect_kingdom - Siloso Beach - songs of the sea - Causeway Bridge - ,http://www.ercotravels.com/it20.htm,Day1:Causeway Bridge-Sultan Mosque-Arab Street-Parliament House-supreme court and city hall-Thian Hock Keng Temple Day2:Asian civilization museum-Images of singapore-Sentosa 4D magix-Mount Faber-Songs of the sea Day3:Night safari-Handicraft center-Cable car-Merlion park-Sentosa Day4:Bumboat River-Shopping little india-Shopping Orchard-Duck Tour,
23,Singapore Tour,5,LONG TOUR,20,MEDIUM,Cricket club - Parliament House - Supreme court and city Hall - Merlion park - Thian Hock Keng Temple - Handicraft centre - shopping little india - Images of Singapore - Underwater World - Butterfly_insect_kingdom - Siloso Beach - songs of the sea - Causeway Bridge - Jurong Bird Park - Night Safari - ChinaTown Heritage Centre - Chinatown Night Market - Trishaw - Clarke Quay - Bumboat River - ,http://www.bookmytrip.in/packages/india-singapore.htm,Day1:Causeway Bridge-Jurong Bird Park-Night Safari-ChinaTown Heritage Centre Day2:Chinatown Night Market-Trishaw-Clarke Quay-Bumboat River Day3:Gem stone factory-Art Retreat museum-Asian civilization museum-Images of singapore-Sentosa 4D magix-Mount Faber-Songs of the sea Day4:Night safari-Handicraft center-Cable car-Merlion park-Sentosa Day5:Sultan Mosque-Arab Street-Parliament House-supreme court and city hall-Thian Hock Keng Temple-Jurong Bird Park,
24,Singapore Holiday Package,4,LONG TOUR,16,MEDIUM,Cricket club - Parliament House - Supreme court and city Hall - Merlion park - Thian Hock Keng Temple - Handicraft centre - Mount Faber - Stamford Hotel - Shopping in Bugis - cable car-sentosa - Underwater World - Merlion - Causeway Bridge - Jurong Bird Park - Shopping Orchard - shopping little india - ,http://www.cheapairticketsindia.com/holidays-abroad/singapore-tours-travel.html,Day1:Causeway Bridge-Shopping Orchard-shopping little indiaDay2:Jurong Bird Park Day3:Singapore Zoo Day4: Underwater world,
25,Dream Singapore,4,LONG TOUR,18,MEDIUM,Zouk - Crazy Elephant - Velvet Underground - China Jump Bar and Grill - Molly Malone’s - n.y.d.c. - Cricket club - Parliament House - Supreme court and city Hall - Merlion park - Thian Hock Keng Temple - Handicraft centre - Mount Faber - Underwater World - Cable Car-Sentosa - Images of Singapore - Songs of the Sea - Sentosa 4D Magix - ,http://www.greatindiaholidays.theindiancenter.com/dream-vacation-tour.html,Day1:Mount Faber-Cable Car Day2:Underwater World Day3:Sentosa-Images of Singapore Day4:Songs of the Sea-Sentosa 4D Magix,
26,Travel From India / Singapore Package / Singapore,2,SHORT TOUR,8,LOW,Cricket club - Parliament House - Supreme court and city Hall - Merlion park - Thian Hock Keng Temple - Handicraft centre - NEWater visitor centre - Bumboat river - ,http://www.swiftravel.com/S_package_details_intl.asp?pid=22andgid=10,Day1: Bumboat River- Trishaw- Singapore botanic gardensDay2: Sultan Mosque- Arab Street- Esplande,
27,UNIQUELY SINGAPORE 3 Nights - 4 Days 3 Nights,4,LONG TOUR,9,MEDIUM,Cricket club - Parliament House - Supreme court and city Hall - Merlion park - Thian Hock Keng Temple - Handicraft centre - National Orchid Garden - Shopping Orchard - Tigerlive - ,http://www.primetravels.com/PackageDetail.aspx?PId=454,Day1: Mount Faber- Suntec city mall- China town heritage center- China town night marketDay2: Singapore Zoo- Night SafariDay3: Jurong bird park- ZoukDay 4: Merlion park- Lau pa Sat- Parliament house,
28,Singapore Travel Package(3 Days/2 Nights),3,SHORT TOUR,8,LOW,supreme court and city hall - parliament house - Stamford Hotel - Mount Faber - cable car-sentosa - Shopping little india - Shopping Orchard - Shopping - City Hall - ,http://www.indiaetrade.com/travelling2india/singapore-travel-package.htm,Day1:Parliament house- Arab street- Sultan Mosque- Supreme court and city hallDay2: Thian Hock Keng Temple- Lau pa Sat- Katong Antique houseDay3: Merlion park- Clarke Quay- Handicraft center- Kranji war memorial,
29,Singapore Tour Package|Tour Package for Singapore Asia  03 Nights / 04 Days,4,LONG TOUR,10,MEDIUM,Sri Mariamman Temple - Singapore Botanic Gardens - Images of Singapore - Underwater World - Butterfly_insect_kingdom - Siloso Beach - songs of the sea - Causeway Bridge - Jurong Bird Park - Night Safari - ,http://www.pearlsindiatour.com/singapore-tour-package.html,Day1: Orchid Garden- Johore Battery- Changi chapel and museum- Suntec city mallDay2: Trishaw- Little india arcade- Kong Meng San Phor Kark See Temple- Handicraft centerDay3: Cable car- Sentosa- Images of singapore- songs of the seaDay4: Sentosa 4D magix- Esplande- Sunset at sentosa- Zouk,
30,Singapore Haw Par Villa and Round-Island Day Trip including Lunch,1,SHORT TOUR,6,LOW,Haw Par Villa - Kranji Dam - Kranji War Memorial - kong meng san phor kark see temple - changi chapel and museum - Johore Battery - ,http://www.viator.com/tours/Singapore/Singapore-Haw-Par-Villa-and-Round-Island-Day-Trip-including-Lunch/d18-3695RITC,Day1: Haw par villa- Little india arcade- Chinatown heriatage,
31,Singapore Honeymoon Tour Package 3 Nights / 4 Days,4,LONG TOUR,16,MEDIUM,Cricket club - Parliament House - Supreme court and city Hall - Merlion park - Thian Hock Keng Temple - Handicraft centre - Singapore Botanic Gardens - National Orchid Garden - Singapore Zoo - Shopping Orchard - Night Safari - cable car-sentosa - Underwater World - Dolphin Lagoon - Merlion - Causeway Bridge - ,http://slstourist.acgil.com/singapore-tour-package.html,Day1: Underwater WorldDay2: Dolphin Lagoon Day3: Singapore Zoo Day4: Merlion-Causeway Bridge,
32,Surprising Singapore 4 days,4,LONG TOUR,11,MEDIUM,Cricket club - Parliament House - Supreme court and city Hall - Merlion park - Thian Hock Keng Temple - Handicraft centre - Mount Faber - Night Safari - Jurong Bird Park - underwater world - Songs of the sea - ,http://www.travelmasti.com/international/asia/singapore-tour-package.htm,Day1: Asian civilization museum- Clarke Quay- Joo chiatDay2: Parliament House- supreme court and city hall- Lau Pa SatDay3: Gem stone factory- Trishaw- Johore Battery- ZoukDay4: Underwater world,
33,Singapore Travel Package (5 Days Singapore Tour),5,LONG TOUR,19,MEDIUM,Cricket club - Parliament House - Supreme court and city Hall - Merlion park - Thian Hock Keng Temple - Handicraft centre - ChinaTown Heritage Centre - Chinatown Night Market - Trishaw - Clarke Quay - Bumboat River - Little India arcade - Images of Singapore - Underwater World - Butterfly_insect_kingdom - Siloso Beach - songs of the sea - Causeway Bridge - haw par villa - ,http://www.international-travel-tours.com/singapore-tour-packages/singapore-travel-package.html,Day1:Underwater World Day2: Butterfly_insect_kingdom-Siloso Beach Day3: Sentosa-  Images of SingaporeDay4: Sentosa 4D magix- Sunset at SentosaDay5: Songs of the sea-Causeway Bridge-haw par villa,
34,Singapore Vacation (4 days),4,LONG TOUR,19,MEDIUM,Cricket club - Parliament House - Supreme court and city Hall - Merlion park - Thian Hock Keng Temple - Handicraft centre - ChinaTown Heritage Centre - Chinatown Night Market - Trishaw - Clarke Quay - Bumboat River - Sri Mariamman Temple - Singapore Botanic Gardens - cable car-sentosa - Underwater World - Dolphin Lagoon - Merlion - Causeway Bridge - Jurong Bird Park - ,http://www.international-travel-tours.com/singapore-tour-packages/singapore-vacation.html,Day1: Singapore Botanic Gardens-cable carDay2: Sentosa- Causeway Bridge Day3: Underwater World-Dolphin LagoonDay4: Merlion- Singapore Zoo- Night SafariDay5: Jurong Bird Park,
35,Isle Holiday Singapore,4,LONG TOUR,12,MEDIUM,CHIJMES - Singapore Zoo - bumboat River - Palawan Beach - siloso beach - Tanjong Beach - Images of Singapore - Underwater World - Butterfly_insect_kingdom - Siloso Beach - songs of the sea - Equinox Restaurant - ,http://www.international-travel-tours.com/singapore-tour-packages/isle-holiday-singapore.html,Day1: Causeway bridge- Dolphin lagoon- underwater worldDay2: Jurong Bird ParkDay3: Sentosa- Songs of the seaDay4: Sentosa 4D magix- Images of singapore,
36,Singapore Holiday (Singapore 7 Days),5,LONG TOUR,15,MEDIUM,Fort canning park - Singapore Botanic Gardens - Katong antique house - Katong-Joo chiat - Peranakan museum - ChinaTown Heritage Centre - Chinatown Night Market - Trishaw - Clarke Quay - Bumboat River - Chinese opera shop - National Museum of Singapore - asian civilisation museum - Jurong Bird Park - Night Safari - ,http://www.international-travel-tours.com/singapore-tour-packages/singapore-holiday.html,Day1: asian civilisation museum- Katong antique house- Parliament HouseDay2: Jurong Bird ParkDay3: Singapore Zoo- Night safariDay4: changi chapel and museum- Suntec city mall- Shopping OrchardDay5: Thian Hock Keng Temple- Handicraft center- Fish Reflexology,
37,Singapore Adventure Tour,5,LONG TOUR,8,MEDIUM,ChinaTown Heritage Centre - Chinatown Night Market - Trishaw - Clarke Quay - Chinatown - soup restraurant & herb - Fort canning Park - Singapore Zoo - Little India arcade - ,http://www.international-travel-tours.com/singapore-tour-packages/singapore-adventure-tour.html,Day1:Singapore Zoo- Night safariDay2: Singapore Botanic Gardens- Fish ReflexologyDay3: Jurong Bird ParkDay4: Singapore Flyer- Butterfly insect kingdomDay5: Dolphin lagoon- Sunset at Sentosa,
38,Singapore Trip 8 days,5,LONG TOUR,10,MEDIUM,National University of Singapore - Singapore Urban Redevelopment Authority - school tour - gem stone factory - art retreat museum - asian civilisation museum - changi chapel and museum - chinatown heritage centre - images of singapore - old parliament house and the elephant statue - ,http://www.international-travel-tours.com/singapore-tour-packages/singapore-trips.html,Day1:Underwater World Day2: Butterfly_insect_kingdom-Siloso Beach Day3: Sentosa-  Images of SingaporeDay4: Sentosa 4D magix- Sunset at SentosaDay5: Songs of the sea-Causeway Bridge-haw par villa,
39,Singapore Tour Package,3,SHORT TOUR,18,MEDIUM,Cricket club - Parliament House - Supreme court and city Hall - Merlion park - Thian Hock Keng Temple - Handicraft centre - cable car-sentosa - Siloso beach - Songs Of The Sea - Little India arcade - ChinaTown Heritage Centre - Chinatown Night Market - Trishaw - Clarke Quay - Bumboat River - Singapore Botanic Gardens - Shopping Orchard - Night Safari - ,http://www.jc-travel.com.sg/prod01.htm,Day1: Trishaw-Clarke Quay-Bumboat RiverDay2: Singapore Botanic Gardens-Shopping OrchardDay3: Singapore zoo -Night Safari,
40,Singapore Tour Package,5,LONG TOUR,5,LOW,cable car-sentosa - Underwater World - Merlion - Causeway Bridge - Visit Bank - ,http://www.jc-travel.com.sg/prod02.htm,Day1: Singapore Botanic Gardens-Shopping OrchardDay2: Sultan Mosque- Arab Street- EsplandeDay3: Parliament House- supreme court and city hall- Lau Pa SatDay4: Underwater worldDay5: Handicraft center- Thian Hock Keng Temple- Duck Tour,
41,Singapore Tour Package,5,LONG TOUR,19,MEDIUM,Singapore Education Service Centre - Cricket club - Parliament House - Supreme court and city Hall - Merlion park - Thian Hock Keng Temple - Handicraft centre - school tour - Images of Singapore - Underwater World - Butterfly_insect_kingdom - Siloso Beach - songs of the sea - Causeway Bridge - Little India arcade - geylang serai - Singapore Zoo - Singapore Botanic Gardens - Shopping Orchard - ,http://www.jc-travel.com.sg/prod03.htm,Day1: songs of the sea-Causeway Bridge-Little India arcadeDay2: geylang serai-Singapore ZooDay3: Singapore Botanic Gardens-Shopping OrchardDay4: Sultan Mosque- Arab Street- EsplandeDay5: Singapore Flyer- Mount Faber- Peranakan museum,
